Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1886-02-15,The Daily Telegraph,Lord Wolseley in Whitechapel,3,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,education
1886-03-04,The Daily Telegraph,Whitechapel Liberal and Radical ASsociation,7,St Mary's Schools,positive,,,,education
1886-03-21,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"5 New Road, Whitechapel",neutral,,,,fire
1886-03-23,The Daily Telegraph,The London Hospital,3,"Drill Hall of 2d Tower Hamlets Rifle Volunteers, Whitechapel Rd",positive,,,,fundarising
1886-03-26,The Daily Telegraph,Consecration of a Bishop,2,"St Mary Matfelon church, Whitechapel road",positive,,,,religion
1886-10-05,The Daily Telegraph,Middlesex Sessions,2,14 Fieldgate St,negative,,,,"assault, ehtnic tension"
1886-01-02,Leeds Mercury,The Confession of Murder at Grismby,3,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Pall Mall Gazette,The Confession of Murder,10,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Aberdeen Free Press,Strange Confession of Murder,5,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Aberdeen Journal,Confession of Murder,5,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Birmingham Daily Post,Charge of Murder,5,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Belfast Telegraph,Extraordinary Confession of Murder,4,"Three Nags Public House, Whitechapel Road",negative,,yes,,"murder, confession, robbery"
1886-01-02,Reading Mercury,Cruel Robbery,8,Whitechapel Infirmary,negative,,yes,,robbery
1886-01-02,The Times,Police,4,"63 Lambeth Street, Whitechapel",neutral,,,,"Theatre, club, theater without licence, court case"
1886-01-02,Bury Free Press,Epitome of News,8,"Co-Operative Stores, Rupert Street, Whitechapel",neutral,,,,fire
1886-01-02,Pall Mall Gazette,A conference of...,9,"St. Jude's, Whitechapel",neutral,,,,"reform, religion"
1886-01-03,Lloyd's Weekly Newspaper,Miscellaneous Summary,2,"142 Old Montague street, Whitechapel",neutral,,,,"injury, accident"
1886-01-03,Lloyd's Weekly Newspaper,Fires in the Metropolis,12,284 Whitechapel Road,neutral,,,,fire
1886-01-03,Reynolds's Newspaper,Unlicensed Plays,5,"63 Lambeth Street, Whitechapel",neutral,,,,"club, theatre, license"
1886-01-04,Pall Mall Gazette,The Stoke Newington Mystery,10,Whitechapel Road,negative,,yes,,"murder, confession, robbery"
1886-01-04,Aberdeen Evening Express,The Stoke Newington Mystery,2,Whitechapel Road,negative,,yes,,"murder, confession, robbery"
1886-01-04,Birmingham Daily Post,"Marks Rubenstein, a refreshment...",3,"Lambeth Street, Whitechapel",neutral,,,,"club, theatre, license"
1886-01-04,London Daily News,The London Tailors' Machinists Society,3,"Pavilion Court, Whitechapel",negative,,,yes,"labour, improvement, tailors"
1886-01-04,St. James's Gazette,The East End Tailors,10,"Pavilion Court, Whitechapel",negative,,,yes,"labour, improvement, tailors"
1886-01-04,Pall Mall Gazette,"The ""Black Holes"" of the East End",10,"Pavilion Court, Whitechapel",negative,,,yes,"labour, improvement, tailors"
1886-01-04,Aberdeen Evening Express,How East End London Tailors Live,2,"Pavilion Court, Whitechapel",negative,,,yes,"labour, improvement, tailors"
1886-01-04,Aberdeen Journal,How East End London Tailors Live,5,"Pavilion Court, Whitechapel",negative,,,yes,"labour, improvement, tailors"
1886-01-05,Cheltenham Chronicle,The Confession of Murder,5,Whitechapel Road,negative,,yes,,"murder, confession, robbery"
1886-01-05,Cheltenham Chronicle,Serious Fires,3,"Co-operative Stores, Rupert Street, Whitechapel",neutral,,,,fire
1886-01-05,London Evening Standard,Inquests,3,Whitechapel Infirmary,negative,,,yes,"Inquest,death"
1886-01-06,The Times,The London Hospital,9,"London Hospital, Whitechapel road E.",neutral,,,,"Charity, children inmates, gifts"
1886-01-09,Bury Free Press,The Stoke Newington Mystery,8,Whitechapel Road,negative,,yes,,"murder, confession, robbery"
1886-01-09,Chepstow Weekly Advertiser,The Stoke Newington Mystery,2,Whitechapel Road,negative,,yes,,"murder, confession, robbery"
1886-01-09,Illustrated Police News,Stage Plays at an East End club,3," 83 Lambeth street, Whitechapel",neutral,,,,"club, theatre, license"
1886-01-09,The Boy's Own Paper,The New Working Lads' Institute,236,"Working Lads' Institute, Whitechapel",positive,,,,"education, boys"
1886-01-11,Hertlepool Northern Daily Mail,Setting a Wife on Fire-Atrocious Murder,3,"Cadiz street, Whitechapel",negative,,yes,,"murder, domestic abuse"
1886-01-11,Northern Echo,Shocking Suicide of a Foreigner,3,"Weaver's Arms Tavern, Baker's Row, Whitechapel",negative,,,,"suicide, inquest, insanity"
1886-01-12,The Times,Police,3,  Whitechapel Road,negative,,yes,,"Robbery, assault"
1886-01-16,Leeds Mercury,The Nonconformists and Church Reform,10,"St. Jude's Vicarage, Whitechapel",positive,,,,"reform, religion"
1886-01-16,Bristol Mercury,Church Reform,3,"St. Jude's Vicarage, Whitechapel",positive,,,,"reform, religion"
1886-01-19,Morning Post,Middlesex Sessions,2,"Earl of Warwick public-house, Whitechapel Road",negative,,yes,,theft
1886-01-19,Bury and Norwich Post,Latest Telegrams,5,"2 Charlotte court, Charlotte street, Whitechapel",negative,,yes,,"arson, breaking and entering, burglary"
1886-01-22,Stamford Mercury,At the Thames...,3,"12 Charlotte street, Whitechapel",negative,,yes,,"breaking and entering, burglary, arson"
1886-01-23,Illustrated Police News,Charges of Burglary,4,"12 Charlotte street, Whitechapel",negative,,yes,,"breaking and entering, burglary, arson"
1886-01-23,Shoreditch Observer,Complaint as to a Pauper Burial,3,Whitechapel Infirmary,negative,,,yes,"death, burial"
1886-01-25,Morning Post,Police Intelligence,6,80 Whitechapel Road,negative,,yes,,"robbery, gun"
1886-01-25,London Daily News,University Lectures in London,6,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"education, improvement"
1886-01-25,Morning Post,University Lectures in London,2,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"education, improvement"
1886-01-26,London Daily News,The Police Courts,6,"2 Charlotte court, Charlotte street, Whitechapel",negative,,yes,,"arson, breaking and entering, burglary"
1886-01-26,The Times,Police,4,"2 Charlotte court, Charlotte street, Whitechapel",negative,,yes,,"Fire, robbery, breaking and entering"
1886-01-29,Morning Post,Demonstrations of the Unemployed,3,"Leman street, Whitechapel",neutral,,,,"protest, unemployment, working classes"
1886-01-30,Chepstow Weekly Advertiser,Epitome of News,3,"  Charlotte Court, Whitechapel",negative,,yes,,burglary
1886-01-30,London Daily News,Deaths from Destitution,7,Whitechapel Infirmary,negative,,,yes,"illness, inquest"
1886-01-30,The Graphic,"Christmas Trees in the Children's Ward, London Hospital, Whitechapel",8,"London Hospital, Whitechapel road E.",negative,,,,"royal patronage, children"
1886-01-30,The Times,Inquests,12,Whitechapel Infirmary,positive,,,yes,"Death, illness"
1886-01-30,Edinburgh Evening News,Lord Wolseley...,2,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-01-31,Lloyd's Weekly Newspaper,Police Intelligence,4,"2 Charlotte court, Charlotte street, Whitechapel",negative,,yes,,"arson, breaking and entering, burglary"
1886-01-31,Morning Post,Condition of the Unemployed,5,"Trafalgar Coffee Hotel, Leman street, Whitechapel",neutral,,,,"unemployment, sugar bounties"
1886-02-01,Aberdeen Evening Express,Singular Charge of Fortune Telling,4,"78 Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-01,Aberdeen Journal,Singular Charge of Fortune Telling,6," 78 Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-01,Bristol Mercury,Fortune Tellers Punished,8,"  78 Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-01,Morning Post,Charge of Fortune-Telling,6,"Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-01,London Evening Standard,Police Intelligence,2,"Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-02,The Times,The London Hospital-Letters to the Editor,13,"London Hospital, Whitechapel road E.",positive,,,yes,"donations, medical care, poor"
1886-02-02,Aberdeen Evening Express,The Earnings of London Match Sellers,2,Whitechapel Infirmary,negative,,,yes,"inquest,death, illness"
1886-02-03,Aberdeen Journal,The Earnings of London Match Sellers,2,Whitechapel Infirmary,negative,,,yes,"inquest,death, illness"
1886-02-04,London Daily News,Liberal Reorganization in Whitechapel,3,102 Whitechapel Road,neutral,,,,politics
1886-02-05,London Daily News,Opening of a New Mission Hall at Mile End,6, Whitechapel Station,positive,,,,"building, improvement"
